,raw,normalized_per_cell,filter_dispersion,log1p,scale_to_10
0,Fau,1810006K21Rik,1810006K21Rik,1110003E01Rik,0610007C21Rik
1,Gm20594,Arf1,Arf1,1500032L24Rik,0610009D07Rik
2,Gm5506,Atp5l,Atp5l,1810006K21Rik,0610031J06Rik
3,Gm6682,Atp6v0c,Atp6v0c,1810037I17Rik,1110002B05Rik
4,Mir682,Btf3,Btf3,2010107E04Rik,1110003E01Rik
5,Mir684-1,Cdc42,Cdc42,2310003F16Rik,1110008F13Rik
6,Mir703,Cdk2ap1,Cdk2ap1,2410015M20Rik,1500032L24Rik
7,Ndufs5,Chchd2,Chchd2,6720456B07Rik,1810006K21Rik
8,Rpl12,Cnbp,Cnbp,Actb,1810037I17Rik
9,Rpl19,Ddx5,Ddx5,Actg1,2010107E04Rik
10,Rpl23,Eif1,Eif1,Actr2,2310003F16Rik
11,Rpl23a,Eno1,Eno1,Aes,2310016M24Rik
12,Rpl27a,Gabarap,Gabarap,Akr1a1,2310036O22Rik
13,Rpl34-ps1,Gm1821,Gm1821,Aldoa,2310044H10Rik
14,Rpl37,Gm5506,Gm5506,Ap2m1,2410015M20Rik
15,Rpl38,H3f3a,H3f3a,Arf1,2510006D16Rik
16,Rpl39,Hnrnpc,Hnrnpc,Arf4,2700060E02Rik
17,Rpl5,Hnrnpf,Hnrnpf,Arf5,4921513D23Rik
18,Rps21,Hnrnpk,Hnrnpk,Arf6,6720456B07Rik
19,Rps23,Mir682,Mir682,Arglu1,Aamp
20,Rps24,Mir692-1,Mir692-1,Arhgdia,Actb
21,Rps27,Mir703,Mir703,Arl6ip1,Actg1
22,Rps29,Morf4l1,Morf4l1,Arl6ip5,Actn4
23,Rps6,Naca,Naca,Arpc1b,Actr2
24,Sumo2,Ndufs5,Ndufs5,Arpc2,Actr3
25,Tomm7,Oaz1,Oaz1,Arpc3,Adam10
26,,Ost4,Ost4,Arpc4,Adipor1
27,,Pcbp1,Pcbp1,Arpc5,Aes
28,,Pdia3,Pdia3,Atox1,Ahnak
29,,Pgam1,Pgam1,Atp1b3,Akr1a1
30,,Ppia,Ppia,Atp5a1,Aldh2
31,,Ppib,Ppib,Atp5b,Aldoa
32,,Psma2,Psma2,Atp5c1,Ankrd11
33,,Ptges3,Ptges3,Atp5d,Anp32a
34,,Rab2a,Rab2a,Atp5e,Anp32b
35,,Rab7,Rab7,Atp5f1,Anxa2
36,,Rbm3,Rbm3,Atp5g1,Anxa5
37,,Rbm39,Rbm39,Atp5g2,Ap2m1
38,,Rhoa,Rhoa,Atp5g3,Ap2s1
39,,Rpl10,Rpl10,Atp5h,Aplp2
40,,Rpl10a,Rpl10a,Atp5j,Apoe
41,,Rpl12,Rpl12,Atp5j2,App
42,,Rpl14,Rpl14,Atp5l,Arf1
